"","X","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","datetaken","datetakengranularity","datetakenunknown","tags","accuracy","context","place_id","woeid","geo_is_family","geo_is_friend","geo_is_contact","geo_is_public","url_z","height_z","width_z","url_o","height_o","width_o","year","URL","long","lat","canopy_pct","elevation","slope","srad","stream_dist","asp","cold_air_ind","srad_noc","relev_30m","X_UTM","Y_UTM","acc_times","grid100","grid500","grid1000","grid5000","water_year","sdd_pred","sdd_lwr","sdd_upr","sdd_range","yearfact","datetaken_DOY","days_since_snow","min_dist_center","nearest_center"
"7776",14185,19416627153,"66104625@N00","96d275c406",428,1,"",1,0,0,1437952447,2013-06-29,0,0,"",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm1.staticflickr.com/428/19416627153_96d275c406_z.jpg",640,478,"https://farm1.staticflickr.com/428/19416627153_d19e427187_o.jpg",1936,2592,2013,"http://flickr.com/photos/66104625@N00/19416627153",-121.646667,46.918499,0.666666686534882,2022.31555175781,4.22183752059937,9257.484375,216.03857421875,189.654403568561,0.402624994516373,1899474,2.72438872424573,603043.5,5196997.5,0.913316523757196,34716,1393,363,1393,2013,174.06993195922,167.084452801708,181.549261128697,14.4648083269891,"2013",180,6,505.469706149151,"Sunrise"
"7777",14186,19849516298,"66104625@N00","480af4ed81",267,1,"",1,0,0,1437952446,2013-06-29,0,0,"",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm1.staticflickr.com/267/19849516298_480af4ed81_z.jpg",640,478,"https://farm1.staticflickr.com/267/19849516298_9c83243bf3_o.jpg",1936,2592,2013,"http://flickr.com/photos/66104625@N00/19849516298",-121.6465,46.918499,0.333333343267441,2021.90551757812,9.36272144317627,9056.017578125,216.084854125977,166.209475665546,0.404749989509583,2054209,2.9153994972396,603055.5,5196997.5,0.904777677104186,34716,1393,363,1393,2013,173.066785010036,165.864811534139,180.392919812312,14.5281082781731,"2013",180,7,499.97885012833,"Sunrise"
"7778",14187,20011315506,"66104625@N00","ec1d4a7754",460,1,"",1,0,0,1437952444,2013-06-29,0,0,"",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm1.staticflickr.com/460/20011315506_ec1d4a7754_z.jpg",640,478,"https://farm1.staticflickr.com/460/20011315506_2bbb6631bb_o.jpg",1936,2592,2013,"http://flickr.com/photos/66104625@N00/20011315506",-121.642167,46.917666,0,1995.89782714844,17.5695991516113,9371.2822265625,117.228591918945,175.986180759607,0.453999996185303,2449476,0.277622932891063,603388.5,5196910.5,0.874494743615697,35095,1394,364,1394,2013,185.484870589688,178.642125602594,192.386894721154,13.7447691185594,"2013",180,-5,376.10822797367,"Sunrise"
"7779",14188,19849496300,"66104625@N00","13be8e14a8",3698,4,"",1,0,0,1437952119,2013-06-29,0,0,"",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm4.staticflickr.com/3698/19849496300_13be8e14a8_z.jpg",478,640,"https://farm4.staticflickr.com/3698/19849496300_12f0b19286_o.jpg",1936,2592,2013,"http://flickr.com/photos/66104625@N00/19849496300",-121.641834,46.917833,0,2001.61669921875,13.7592401504517,9355.6748046875,125.162559509277,183.054084165779,0.439249992370605,2444047,0.22483156607268,603412.5,5196928.5,0.89175511840238,35095,1394,364,1394,2013,187.466473900211,180.606388417937,194.57696215171,13.9705737337731,"2013",180,-7,400.683196177767,"Sunrise"
"7780",14194,15640222869,"25953166@N05","01fd4fa92b",7526,8,"2013_Pacific Northwest_Mount Rainier NP_11",1,0,0,1416397419,2013-07-17,0,0,"mountrainiernationalpark",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm8.staticflickr.com/7526/15640222869_01fd4fa92b_z.jpg",427,640,"https://farm8.staticflickr.com/7526/15640222869_445c67cd6c_o.jpg",3072,4608,2013,"http://flickr.com/photos/25953166@N05/15640222869",-121.643532,46.914509,0.666666686534882,1954.17895507812,3.05995273590088,7222.5966796875,78.0939636230469,100.177602336999,0.483500003814697,2025853,0.339303868050365,603289.5,5196556.5,0.806308533264427,36594,1468,363,1468,2013,186.773615779464,180.342069274015,193.003856373416,12.6617870994005,"2013",198,11,11.6224298248091,"Sunrise"
"7781",14195,15206604173,"25953166@N05","4e180fa23e",7574,8,"2013_Pacific Northwest_Mount Rainier NP_13",1,0,0,1416397420,2013-07-17,0,0,"mountrainier mountrainiernationalpark pinetrees",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm8.staticflickr.com/7574/15206604173_4e180fa23e_z.jpg",427,640,"https://farm8.staticflickr.com/7574/15206604173_3a605ede4e_o.jpg",3072,4608,2013,"http://flickr.com/photos/25953166@N05/15206604173",-121.642019,46.913857,0,1947.29772949219,6.02828979492188,8492.2294921875,119.551940917969,135.943497486117,0.480625003576279,2135901,0.194367514047826,603406.5,5196487.5,0.764975061994479,36595,1469,364,1469,2013,189.429035291796,183.093074450405,195.986717023713,12.8936425733083,"2013",198,9,141.748788974928,"Sunrise"
"7782",14196,15802389476,"25953166@N05","54183288a8",5616,6,"2013_Pacific Northwest_Mount Rainier NP_14",1,0,0,1416397420,2013-07-17,0,0,"mountrainier mountrainiernationalpark pinetrees hikingtrail",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm6.staticflickr.com/5616/15802389476_54183288a8_z.jpg",427,640,"https://farm6.staticflickr.com/5616/15802389476_1cabd85e18_o.jpg",3072,4608,2013,"http://flickr.com/photos/25953166@N05/15802389476",-121.642019,46.913857,0,1947.29772949219,6.02828979492188,8492.2294921875,119.551940917969,135.943497486117,0.480625003576279,2135901,0.194367514047826,603406.5,5196487.5,0.764975061994479,36595,1469,364,1469,2013,189.429035291796,183.093074450405,195.986717023713,12.8936425733083,"2013",198,9,141.748788974928,"Sunrise"
"7783",14197,15640221859,"25953166@N05","b206d06784",5605,6,"2013_Pacific Northwest_Mount Rainier NP_15",1,0,0,1416397421,2013-07-17,0,0,"mountrainier mountrainiernationalpark pinetrees",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm6.staticflickr.com/5605/15640221859_b206d06784_z.jpg",427,640,"https://farm6.staticflickr.com/5605/15640221859_a885a605e7_o.jpg",3072,4608,2013,"http://flickr.com/photos/25953166@N05/15640221859",-121.642019,46.913857,0,1947.29772949219,6.02828979492188,8492.2294921875,119.551940917969,135.943497486117,0.480625003576279,2135901,0.194367514047826,603406.5,5196487.5,0.764975061994479,36595,1469,364,1469,2013,189.429035291796,183.093074450405,195.986717023713,12.8936425733083,"2013",198,9,141.748788974928,"Sunrise"
"7784",14198,15640865277,"25953166@N05","8c831db025",5613,6,"2013_Pacific Northwest_Mount Rainier NP_17",1,0,0,1416397421,2013-07-17,0,0,"mountrainiernationalpark",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm6.staticflickr.com/5613/15640865277_8c831db025_z.jpg",427,640,"https://farm6.staticflickr.com/5613/15640865277_98f3f9bc65_o.jpg",3072,4608,2013,"http://flickr.com/photos/25953166@N05/15640865277",-121.642019,46.913857,0,1947.29772949219,6.02828979492188,8492.2294921875,119.551940917969,135.943497486117,0.480625003576279,2135901,0.194367514047826,603406.5,5196487.5,0.764975061994479,36595,1469,364,1469,2013,189.429035291796,183.093074450405,195.986717023713,12.8936425733083,"2013",198,9,141.748788974928,"Sunrise"
"7785",14199,15641188760,"25953166@N05","a86e01eef9",7499,8,"2013_Pacific Northwest_Mount Rainier NP_18",1,0,0,1416397421,2013-07-17,0,0,"mountrainier mountrainiernationalpark pinetrees",16,0,"aRjt_z5TV7oQHRXh",2502312,0,0,0,1,"https://farm8.staticflickr.com/7499/15641188760_a86e01eef9_z.jpg",427,640,"https://farm8.staticflickr.com/7499/15641188760_410f747b8b_o.jpg",3072,4608,2013,"http://flickr.com/photos/25953166@N05/15641188760",-121.642019,46.913857,0,1947.29772949219,6.02828979492188,8492.2294921875,119.551940917969,135.943497486117,0.480625003576279,2135901,0.194367514047826,603406.5,5196487.5,0.764975061994479,36595,1469,364,1469,2013,189.429035291796,183.093074450405,195.986717023713,12.8936425733083,"2013",198,9,141.748788974928,"Sunrise"
