id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,datetaken,datetakengranularity,datetakenunknown,tags,accuracy,context,place_id,woeid,geo_is_family,geo_is_friend,geo_is_contact,geo_is_public,url_z,height_z,width_z,url_o,height_o,width_o,URL_link,URL,UTME,UTMN,lat,long,CollectorName,Species,Phenophase,Notes,,
16348041413,24206407@N07,e774e543d6,8709,9,Mt. Rainier,1,0,0,1427648365,9/12/14 11:26,0,0,sunrise volcano washington trails mtrainier hikes cascademountains activevolcano mtrainiernationalpark emmonsglacier burroughsmountain sunriserimtrail,13,0,aRjt_z5TV7oQHRXh,2502312,0,0,0,1,https://farm9.staticflickr.com/8709/16348041413_e774e543d6_z.jpg,427,640,NA,NA,NA,http://flickr.com/photos/24206407@N07/16348041413,http://flickr.com/photos/24206407@N07/16348041413,602499.7588,5196078.018,-121.654015,46.910323,Myesa LF,NF,NF,,,
16717301069,21227803@N06,266a5cb3b6,7637,8,A Chipmunk in Paradise,1,0,0,1427099384,9/22/14 18:05,0,0,mammal washington paradise eating mountrainiernationalpark skylinetrail townsendschipmunk deadhorsecreektrail,16,0,niEHOU5TVrxjm8g0,2468129,0,0,0,1,https://farm8.staticflickr.com/7637/16717301069_266a5cb3b6_z.jpg,427,640,https://farm8.staticflickr.com/7637/16717301069_6d098b76d5_o.jpg,1365,2048,http://flickr.com/photos/21227803@N06/16717301069,http://flickr.com/photos/21227803@N06/16717301069,596296.9552,5182947.186,-121.738217,46.793116,Myesa LF,NF,NF,,,
16877237662,67783195@N00,3a6f2b9daf,7640,8,IMG_0385.jpg,1,0,0,1426907198,10/4/14 11:07,0,0,washington unitedstates naches,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm8.staticflickr.com/7640/16877237662_3a6f2b9daf_z.jpg,427,640,NA,NA,NA,http://flickr.com/photos/67783195@N00/16877237662,http://flickr.com/photos/67783195@N00/16877237662,612930.5237,5191722.273,-121.518167,46.869447,Myesa LF,NF,NF,,,
16690792348,67783195@N00,eaac9138ab,8744,9,IMG_0384.jpg,1,0,0,1426907162,10/4/14 11:07,0,0,washington unitedstates naches,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm9.staticflickr.com/8744/16690792348_eaac9138ab_z.jpg,427,640,NA,NA,NA,http://flickr.com/photos/67783195@N00/16690792348,http://flickr.com/photos/67783195@N00/16690792348,612895.9172,5191750.299,-121.518614,46.869705,Myesa LF,NF,NF,,,
16852520556,67783195@N00,0f6ff5fe32,8702,9,IMG_0378.jpg,1,0,0,1426907125,10/4/14 11:04,0,0,washington unitedstates enumclaw,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm9.staticflickr.com/8702/16852520556_0f6ff5fe32_z.jpg,427,640,NA,NA,NA,http://flickr.com/photos/67783195@N00/16852520556,http://flickr.com/photos/67783195@N00/16852520556,612892.6329,5191887.966,-121.518623,46.870944,Myesa LF,NF,NF,,,
16670751677,67783195@N00,06193267fc,7628,8,IMG_0043.jpg,1,0,0,1426903840,10/4/14 8:41,0,0,washington unitedstates naches,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm8.staticflickr.com/7628/16670751677_06193267fc_z.jpg,427,640,NA,NA,NA,http://flickr.com/photos/67783195@N00/16670751677,http://flickr.com/photos/67783195@N00/16670751677,612997.9123,5191169.519,-121.51742,46.864463,Myesa LF,NF,NF,,,
16690638970,67783195@N00,92dabf7cf6,8707,9,IMG_0007.jpg,1,0,0,1426903485,10/4/14 8:21,0,0,washington unitedstates naches,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm9.staticflickr.com/8707/16690638970_92dabf7cf6_z.jpg,427,640,NA,NA,NA,http://flickr.com/photos/67783195@N00/16690638970,http://flickr.com/photos/67783195@N00/16690638970,612972.9461,5191425.718,-121.517684,46.866772,Myesa LF,NF,NF,,,
16877023201,67783195@N00,2f245f904b,7617,8,IMG_0003.jpg,1,0,0,1426903437,10/4/14 8:18,0,0,washington unitedstates naches,16,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm8.staticflickr.com/7617/16877023201_2f245f904b_z.jpg,427,640,NA,NA,NA,http://flickr.com/photos/67783195@N00/16877023201,http://flickr.com/photos/67783195@N00/16877023201,612932.5854,5191487.873,-121.518198,46.867338,Myesa LF,NF,NF,,,
16677931068,24206407@N07,062af8289e,8646,9,Hiking the Sunrise Rim Trail,1,0,0,1426789671,9/12/14 9:21,0,0,sunrise washington trails mtrainier hikes mtrainiernationalpark burroughsmountain sunriserimtrail,14,0,aRjt_z5TV7oQHRXh,2502312,0,0,0,1,https://farm9.staticflickr.com/8646/16677931068_062af8289e_z.jpg,427,640,NA,NA,NA,http://flickr.com/photos/24206407@N07/16677931068,http://flickr.com/photos/24206407@N07/16677931068,602697.5026,5196366.195,-121.651354,46.912885,Myesa LF,NF,NF,,,
16668808980,24206407@N07,c600eab9b7,7607,8,Upper Christine Falls,1,0,0,1426703109,9/9/14 14:49,0,0,washington waterfalls mtrainier mtrainiernationalpark christinefalls vantrumpcreek upperchristinefalls,16,0,YyvdiXtQUL.qk8cwNQ,12590460,0,0,0,1,https://farm8.staticflickr.com/7607/16668808980_c600eab9b7_z.jpg,640,427,NA,NA,NA,http://flickr.com/photos/24206407@N07/16668808980,http://flickr.com/photos/24206407@N07/16668808980,593163.0577,5181511.128,-121.779563,46.780641,Myesa LF,NF,NF,,,
