"","X","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","datetaken","datetakengranularity","datetakenunknown","tags","accuracy","context","place_id","woeid","geo_is_family","geo_is_friend","geo_is_contact","geo_is_public","url_z","height_z","width_z","url_o","height_o","width_o","year","URL","long","lat","canopy_pct","elevation","slope","srad","stream_dist","asp","cold_air_ind","srad_noc","relev_30m","X_UTM","Y_UTM","acc_times","grid100","grid500","grid1000","grid5000","water_year","sdd_pred","sdd_lwr","sdd_upr","sdd_range","yearfact","datetaken_DOY","days_since_snow","min_dist_center","nearest_center"
"1",4,7804205876,"79409610@N06","ae205abac9",7130,8,"Sooty Grouse",1,0,0,1345240890,2009-06-21,0,0,"",16,0,"LNkmboVTVrzmLNg2",2460095,0,0,0,1,"https://farm8.staticflickr.com/7130/7804205876_ae205abac9_z.jpg",438,640,"https://farm8.staticflickr.com/7130/7804205876_fbc7f68ced_o.jpg",2279,3329,2009,"http://flickr.com/photos/79409610@N06/7804205876",-121.751174,46.785486,0.666666686534882,1487.31005859375,29.5029487609863,1004.81011962891,1.00716614723206,286.792050128783,0.54925000667572,1495750,-0.685903844020686,595321.5,5182084.5,1.24671641240863,90514,3627,925,3627,2009,165.061400845015,158.554287240793,172.260917753603,13.70663051281,"2009",172,7,1125.12682514392,"Paradise"
"2",12,7252674532,"79138379@N04","3f66ff2355",8142,9,"broadleaf_lupine",1,0,0,1337734523,2009-06-17,0,0,"",15,0,"niEHOU5TVrxjm8g0",2468129,0,0,0,1,"https://farm9.staticflickr.com/8142/7252674532_3f66ff2355_z.jpg",640,512,"https://farm9.staticflickr.com/8142/7252674532_aa37a7a2d7_o.jpg",1400,1120,2009,"http://flickr.com/photos/79138379@N04/7252674532",-121.736819,46.786595,0,1662.96447753906,14.5137138366699,8495.6279296875,51.0163383483887,137.513047013079,0.483125001192093,2260703,0.194176129361949,596416.5,5182225.5,0.725152143690721,90150,3630,927,3630,2009,175.113204610159,168.37299217044,182.110432596225,13.7374404257859,"2009",168,-7,80.9661754886705,"Paradise"
"3",15,7252673818,"79138379@N04","9bc2149e84",7088,8,"fox_2",1,0,0,1337734529,2009-06-20,0,0,"",15,0,"niEHOU5TVrxjm8g0",2468129,0,0,0,1,"https://farm8.staticflickr.com/7088/7252673818_9bc2149e84_z.jpg",512,640,"https://farm8.staticflickr.com/7088/7252673818_e6c55cc6d0_o.jpg",1120,1400,2009,"http://flickr.com/photos/79138379@N04/7252673818",-121.734652,46.785794,0,1651.73107910156,9.30464363098145,8177.2255859375,28.1898345947266,22.6859489095611,0.470375001430511,1835882,3.1522867581823,596581.5,5182138.5,0.656769809560411,90527,3630,927,3630,2009,169.149004552084,161.966855492277,176.693058283498,14.7262027912211,"2009",171,2,137.210417756733,"Paradise"
"4",16,7252673670,"79138379@N04","b54025f0a1",7222,8,"fox",1,0,0,1337734530,2009-06-06,0,0,"",15,0,"Sq8PmjxTVrxcEJpp",2468166,0,0,0,1,"https://farm8.staticflickr.com/7222/7252673670_b54025f0a1_z.jpg",512,640,"https://farm8.staticflickr.com/7222/7252673670_d6a3835e6b_o.jpg",1120,1400,2009,"http://flickr.com/photos/79138379@N04/7252673670",-121.734888,46.786316,0,1652.564453125,4.46164560317993,8774.205078125,30.4247722625732,187.183249039552,0.543874979019165,2138831,-0.378990582488086,596563.5,5182195.5,0.651607626961403,90151,3630,927,3630,2009,180.28168861117,173.657470091631,187.048927753017,13.3914576613857,"2009",157,-23,127.313946465512,"Paradise"
"5",17,7252673592,"79138379@N04","2331731646",7226,8,"in_the_clouds",1,0,0,1337734531,2009-06-06,0,0,"",16,0,"niEHOU5TVrxjm8g0",2468129,0,0,0,1,"https://farm8.staticflickr.com/7226/7252673592_2331731646_z.jpg",512,640,"https://farm8.staticflickr.com/7226/7252673592_6b9af18bc7_o.jpg",1120,1400,2009,"http://flickr.com/photos/79138379@N04/7252673592",-121.735028,46.785185,0,1643.4189453125,15.1340169906616,9151.5478515625,22.4870414733887,224.626425993186,0.553875029087067,2235543,-0.599591276246883,596554.5,5182069.5,0.665663054764521,90901,3630,927,3630,2009,176.143182946939,169.553867528118,182.996364212286,13.4424966841679,"2009",157,-19,135.889947643634,"Paradise"
"6",20,7252672066,"79138379@N04","29f004cfba",8020,9,"Paradise panoramic 1",1,0,0,1337734539,2009-07-08,0,0,"",16,0,"niEHOU5TVrxjm8g0",2468129,0,0,0,1,"https://farm9.staticflickr.com/8020/7252672066_29f004cfba_z.jpg",179,640,"https://farm9.staticflickr.com/8020/7252672066_277008421f_o.jpg",1200,4297,2009,"http://flickr.com/photos/79138379@N04/7252672066",-121.734942,46.785273,0,1645.93225097656,4.59697103500366,9112.4130859375,22.0378646850586,166.653638343393,0.55825001001358,2135020,1.12990399189312,596560.5,5182078.5,0.647953867631693,90901,3630,927,3630,2009,175.88125065105,168.950335248984,183.086420697102,14.1360854481176,"2009",189,13,135.860414381113,"Paradise"
"7",21,7252671862,"79138379@N04","f5068e6238",8016,9,"Paradise panoramic 4",1,0,0,1337734540,2009-06-06,0,0,"",16,0,"niEHOU5TVrxjm8g0",2468129,0,0,0,1,"https://farm9.staticflickr.com/8016/7252671862_f5068e6238_z.jpg",179,640,"https://farm9.staticflickr.com/8016/7252671862_389ce7e497_o.jpg",1200,4297,2009,"http://flickr.com/photos/79138379@N04/7252671862",-121.734931,46.785269,0,1645.93225097656,4.59697103500366,9112.4130859375,22.0378646850586,166.653638343393,0.55825001001358,2135020,1.12990399189312,596560.5,5182078.5,0.647953867631693,90901,3630,927,3630,2009,175.88125065105,168.950335248984,183.086420697102,14.1360854481176,"2009",157,-19,135.860414381113,"Paradise"
"8",22,7252671492,"79138379@N04","56f4598018",8153,9,"paradise",1,0,0,1337734542,2009-05-20,0,0,"",16,0,"niEHOU5TVrxjm8g0",2468129,0,0,0,1,"https://farm9.staticflickr.com/8153/7252671492_56f4598018_z.jpg",512,640,"https://farm9.staticflickr.com/8153/7252671492_bc21b95605_o.jpg",1120,1400,2009,"http://flickr.com/photos/79138379@N04/7252671492",-121.735006,46.78535,0,1646.11889648438,3.29729652404785,7803.22509765625,14,79.0091338034159,0.576125025749207,2070939,0.486709739133403,596554.5,5182087.5,0.642398911814435,90526,3630,927,3630,2009,178.786646172051,172.004578429669,185.649727174493,13.6451487448236,"2009",140,-39,126.118222821219,"Paradise"
"9",23,7252671310,"79138379@N04","9f42206aa7",7071,8,"reflection_lake_pano",1,0,0,1337734543,2009-06-13,0,0,"",16,0,"jyADg3RTUb65Hnbj",2347606,0,0,0,1,"https://farm8.staticflickr.com/7071/7252671310_9f42206aa7_z.jpg",179,640,"https://farm8.staticflickr.com/7071/7252671310_4e619daebf_o.jpg",1200,4297,2009,"http://flickr.com/photos/79138379@N04/7252671310",-121.728301,46.768296,0,1481.20556640625,9.47473430633545,8147.4326171875,5.74677896499634,1.45695111746756,0.544250011444092,1636133,-1.16278287965838,597097.5,5180200.5,0.629322012359786,97657,3931,1003,3931,2009,173.645758262028,166.660552321212,180.683602040524,14.023049719312,"2009",164,-10,2055.5189369085,"Paradise"
"10",24,7252671028,"79138379@N04","614c0fc406",7074,8,"reflection_lake_snow",1,0,0,1337734544,2009-06-13,0,0,"",16,0,"jyADg3RTUb65Hnbj",2347606,0,0,0,1,"https://farm8.staticflickr.com/7074/7252671028_614c0fc406_z.jpg",512,640,"https://farm8.staticflickr.com/7074/7252671028_deb6280549_o.jpg",1120,1400,2009,"http://flickr.com/photos/79138379@N04/7252671028",-121.727775,46.768366,0,1482.91662597656,21.5734996795654,8393.1884765625,8.84525108337402,336.13602762608,0.527125000953674,1609974,0.0739930932077186,597139.5,5180209.5,0.630993819693818,97657,3931,1003,3931,2009,167.076840251098,159.871593292786,174.039741791765,14.1681484989788,"2009",164,-3,2060.76459972871,"Paradise"
