X.1,X,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,dateupload,datetaken,datetakengranularity,datetakenunknown,tags,accuracy,context,place_id,woeid,geo_is_family,geo_is_friend,geo_is_contact,geo_is_public,url_z,height_z,width_z,url_o,height_o,width_o,year,URL,long,lat,canopy_pct,elevation,slope,srad,stream_dist,asp,cold_air_ind,srad_noc,relev_30m,X_UTM,Y_UTM,acc_times,grid100,grid500,grid1000,grid5000,water_year,sdd_pred,sdd_lwr,sdd_upr,sdd_range,yearfact,datetaken_DOY,days_since_snow,min_dist_center,nearest_center,datePOSIX,UniqueID,Collector,Species,Phenophase,Nonfocal_spp,Notes
12756,21956,13994682867,67475330@N07,d3d70e399c,7369,8,"Hiked from no snow, to about ankle deep snow \m/",1,0,0,1400028945,5/10/14,0,0,park mount national rainier,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm8.staticflickr.com/7369/13994682867_d3d70e399c_z.jpg,640,480,https://farm8.staticflickr.com/7369/13994682867_19242aa7be_o.jpg,2448,3264,2014,http://flickr.com/photos/67475330@N07/13994682867,-121.707123,46.78428,1,1586.004395,44.29095078,5457.196289,80.10410309,170.5296685,0.364625007,2690539,6.486482542,598687.5,5182003.5,3.8685276,90923,3634,929,3634,2014,141.236388,134.3980822,148.2873647,13.88928249,2014,130,-11,2247.514052,Paradise,5/10/14,67475330@N07.13994682867,IB,nf,nf,0,
12385,21176,14375060326,13639387@N05,77941f15f9,2932,3,Collect Yourself,1,0,0,1402516325,5/24/14,0,0,trees nature fog clouds forest canon scenery pacificnorthwest washingtonstate canonef2470mmf28lusm canoneos5dmarkiii,15,0,Uf8Je5pQUL._aKXH3A,12590466,0,0,0,1,https://farm3.staticflickr.com/2932/14375060326_77941f15f9_z.jpg,360,640,https://farm3.staticflickr.com/2932/14375060326_62ccf7db3a_o.jpg,3240,5760,2014,http://flickr.com/photos/13639387@N05/14375060326,-121.5434,46.892533,1,1299.272217,35.45549774,2390.279785,48.027771,271.0557614,0.478625,1789273,-0.135660551,610960.5,5194252.5,0.468318634,45295,1859,485,1859,2014,134.1073631,125.3639372,143.0323759,17.66843867,2014,144,10,3121.178788,Tipsoo,5/24/14,13639387@N05.14375060326,IB,nf,nf,0,
12418,21249,14274063548,62107343@N04,899b0951cb,3891,4,Narada Falls,1,0,0,1403205087,5/24/14,0,0,usa mountain fall nature forest volcano us waterfall washington unitedstates rainier wa,16,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm4.staticflickr.com/3891/14274063548_899b0951cb_z.jpg,640,425,https://farm4.staticflickr.com/3891/14274063548_09d0facbf0_o.jpg,4288,2848,2014,http://flickr.com/photos/62107343@N04/14274063548,-121.745951,46.7743,1,1364.08667,16.01387215,5907.287598,21.96967888,250.2918064,0.493624985,1827129,-0.999864452,595741.5,5180845.5,0.756249635,95393,3778,964,3778,2014,151.1216879,145.3888091,156.9718611,11.58305203,2014,144,-7,1481.645411,Paradise,5/24/14,62107343@N04.14274063548,IB,nf,nf,0,
12415,21240,14302327507,62107343@N04,eac0a2c153,2917,3,Summit in a sunny weather,1,0,0,1403528549,5/24/14,0,0,usa mountain snow ice nature forest volcano us washington unitedstates glacier rainier wa,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm3.staticflickr.com/2917/14302327507_eac0a2c153_z.jpg,425,640,https://farm3.staticflickr.com/2917/14302327507_7e71f69021_o.jpg,2848,4288,2014,http://flickr.com/photos/62107343@N04/14302327507,-121.695825,46.763633,0,1318.27002,4.9976511,7706.215332,28.64728355,344.3052225,0.549125016,1453828,-1.329022236,599587.5,5179723.5,0.665253344,99557,4011,1006,4011,2014,155.1338462,149.1322601,161.4462317,12.31397161,2014,144,-11,3970.262842,Paradise,5/24/14,62107343@N04.14302327507,IB,nf,nf,0,
12407,21229,14498526212,62107343@N04,678df01619,3850,4,Small waterfall,1,0,0,1403640052,5/24/14,0,0,usa mountain fall nature river volcano us waterfall washington unitedstates rainier wa,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm4.staticflickr.com/3850/14498526212_678df01619_z.jpg,425,640,https://farm4.staticflickr.com/3850/14498526212_87b406c5eb_o.jpg,2848,4288,2014,http://flickr.com/photos/62107343@N04/14498526212,-121.702884,46.775513,0,1223.757813,2.327177525,6500.632324,8.020967484,93.18630886,0.656000018,1925018,0.332654309,599026.5,5181034.5,0.630695111,94676,3785,967,3785,2014,148.6306388,142.6976307,154.9108143,12.21318357,2014,144,-5,2812.289122,Paradise,5/24/14,62107343@N04.14498526212,IB,nf,nf,0,
12738,21780,14127740847,47388339@N06,7a9c103639,5595,6,American Pipit_DSC08031,1,0,0,1401562484,5/26/14,0,0,,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm6.staticflickr.com/5595/14127740847_7a9c103639_z.jpg,427,640,https://farm6.staticflickr.com/5595/14127740847_b53c75ce00_o.jpg,697,1045,2014,http://flickr.com/photos/47388339@N06/14127740847,-121.707353,46.768027,0,1380.763306,34.40837479,6130.960938,60.81666565,353.0794557,0.491874993,1436582,1.106814604,598699.5,5180197.5,0.692088837,97673,3934,1005,3934,2014,149.0473429,142.9167332,155.36139,12.44465687,2014,146,-3,2982.399409,Paradise,5/26/14,47388339@N06.14127740847,IB,nf,nf,0,
12737,21779,14310930841,47388339@N06,6d4698446b,3809,4,Gray Jay_DSC08035,1,0,0,1401562484,5/26/14,0,0,,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm4.staticflickr.com/3809/14310930841_6d4698446b_z.jpg,427,640,https://farm4.staticflickr.com/3809/14310930841_b58a911436_o.jpg,1115,1672,2014,http://flickr.com/photos/47388339@N06/14310930841,-121.707939,46.767811,0,1385.273315,3.697972536,6109.433105,19.04383659,73.88468865,0.499749988,1711129,0.855870773,598654.5,5180173.5,0.677838102,98047,3934,1005,3934,2014,161.8229078,155.9712122,168.0777661,12.10655396,2014,146,-16,2964.4697,Paradise,5/26/14,47388339@N06.14310930841,IB,nf,nf,0,
12736,21778,14314264305,47388339@N06,f0f3f1b6dc,3702,4,Sooty Grouse (fem.)_DSC08050,1,0,0,1401562484,5/26/14,0,0,washington sootygrouse,16,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm4.staticflickr.com/3702/14314264305_f0f3f1b6dc_z.jpg,426,640,https://farm4.staticflickr.com/3702/14314264305_7099b071bf_o.jpg,1164,1748,2014,http://flickr.com/photos/47388339@N06/14314264305,-121.764245,46.773744,1,1342.238892,26.57666969,6339.817871,11.07563686,147.6071339,0.473625004,2272401,-1.7024488,594343.5,5180761.5,0.52225672,95754,3850,962,3850,2014,145.3214206,139.5199645,151.1686602,11.64869573,2014,146,1,2518.349933,Paradise,5/26/14,47388339@N06.14314264305,IB,nf,nf,0,
12497,21413,14176583307,13828904@N02,05f2a79f2f,3922,4,Narada Falls,1,0,0,1402105591,5/29/14,0,0,waterfalls mtrainier,16,0,LNkmboVTVrzmLNg2,2460095,0,0,0,1,https://farm4.staticflickr.com/3922/14176583307_05f2a79f2f_z.jpg,640,427,NA,NA,NA,2014,http://flickr.com/photos/13828904@N02/14176583307,-121.745939,46.776552,0.888888896,1411.579956,19.40356255,2765.417236,37.13040543,134.7829997,0.531624973,2035957,0.361238016,595735.5,5181097.5,0.569663377,94268,3778,964,3778,2014,155.22936,149.6800843,161.1963444,11.51626011,2014,149,-6,1268.848379,Paradise,5/29/14,13828904@N02.14176583307,IB,nf,nf,0,
12428,21261,14407817896,39877607@N00,6b3c745487,2897,3,,1,0,0,1402868855,5/31/14,0,0,,16,0,Sq8PmjxTVrxcEJpp,2468166,0,0,0,1,https://farm3.staticflickr.com/2897/14407817896_6b3c745487_z.jpg,640,480,https://farm3.staticflickr.com/2897/14407817896_8ce5c5850f_o.jpg,2448,3264,2014,http://flickr.com/photos/39877607@N00/14407817896,-121.735039,46.786716,0.666666687,1659.882202,19.08514214,6460.790039,17.43882751,119.4345052,0.503875017,2180333,1.528572925,596551.5,5182240.5,0.665608791,90151,3630,927,3630,2014,168.1568026,163.3733705,173.1912964,9.817925942,2014,151,-17,140.203214,Paradise,5/31/14,39877607@N00.14407817896,IB,nf,nf,0,
